bucket	open	high	low	close	volume	count
2023-06-07T09:00:00+05:30	1185.3	1185.8	1179.6	1182.45	1207310	45
2023-06-07T10:00:00+05:30	1182.0	1182.45	1178.45	1181.65	1006352	60
2023-06-07T11:00:00+05:30	1181.6	1182.9	1178.8	1182.45	1236296	60
2023-06-07T12:00:00+05:30	1182.45	1184.35	1181.0	1183.7	707618	60
2023-06-07T13:00:00+05:30	1183.6	1184.15	1181.55	1183.75	828164	60
2023-06-07T14:00:00+05:30	1183.8	1190.8	1182.8	1188.85	2201112	60
2023-06-07T15:00:00+05:30	1188.8	1191.5	1188.8	1190.55	2679306	30
2023-06-08T09:00:00+05:30	1194.35	1196.75	1190.8	1195.05	2490642	45
2023-06-08T10:00:00+05:30	1195.05	1196.6	1193.4	1195.3	960728	60
2023-06-08T11:00:00+05:30	1195.5	1199.4	1191.5	1191.6	2550398	60
2023-06-08T12:00:00+05:30	1191.6	1193.8	1188.5	1191.4	1098372	60
2023-06-08T13:00:00+05:30	1191.3	1195.3	1189.3	1194.8	1370154	60
2023-06-08T14:00:00+05:30	1194.8	1195.15	1187.2	1187.8	1464028	60
2023-06-08T15:00:00+05:30	1187.95	1194.6	1187.6	1193.9	1501060	30
2023-06-09T09:00:00+05:30	1194.8	1195.55	1187.2	1191.95	1297782	45
2023-06-09T10:00:00+05:30	1192.4	1192.55	1188.3	1188.7	468398	60
2023-06-09T11:00:00+05:30	1189.0	1192.8	1187.9	1191.8	386938	60
2023-06-09T12:00:00+05:30	1191.8	1193.9	1191.0	1191.75	518580	60
2023-06-09T13:00:00+05:30	1191.75	1193.2	1186.6	1190.05	922976	60
2023-06-09T14:00:00+05:30	1189.8	1190.05	1183.45	1184.3	959746	60
2023-06-09T15:00:00+05:30	1184.3	1184.5	1181.3	1182.9	1050658	30
2023-06-12T09:00:00+05:30	1179.8	1182.65	1174.9	1179.9	1313042	45
2023-06-12T10:00:00+05:30	1179.6	1184.15	1178.2	1183.3	901788	60
2023-06-12T11:00:00+05:30	1183.3	1186.0	1181.7	1183.5	908986	60
2023-06-12T12:00:00+05:30	1183.2	1183.9	1178.55	1181.7	813162	60
2023-06-12T13:00:00+05:30	1181.7	1185.3	1181.2	1184.35	600568	60
2023-06-12T14:00:00+05:30	1184.6	1186.3	1183.15	1186.0	630338	60
2023-06-12T15:00:00+05:30	1186.25	1186.3	1182.45	1185.8	841890	30
2023-06-13T09:00:00+05:30	1189.1	1190.1	1185.8	1186.85	1600856	45
2023-06-13T10:00:00+05:30	1187.0	1189.05	1184.95	1187.05	979064	60
2023-06-13T11:00:00+05:30	1187.05	1197.85	1187.05	1196.5	2032598	60
2023-06-13T12:00:00+05:30	1196.5	1200.9	1196.3	1198.7	1174260	60
2023-06-13T13:00:00+05:30	1198.9	1199.6	1196.05	1196.5	731684	60
2023-06-13T14:00:00+05:30	1196.5	1200.75	1195.45	1200.1	1457230	60
2023-06-13T15:00:00+05:30	1200.0	1202.7	1198.9	1199.6	2726620	30
2023-06-14T09:00:00+05:30	1201.5	1206.3	1199.6	1204.7	2650158	45
2023-06-14T10:00:00+05:30	1204.65	1210.5	1204.1	1208.8	1704578	60
2023-06-14T11:00:00+05:30	1208.7	1211.0	1208.35	1210.65	1211258	60
2023-06-14T12:00:00+05:30	1210.8	1212.95	1210.1	1212.65	1529234	60
2023-06-14T13:00:00+05:30	1212.7	1217.7	1212.65	1217.2	1919394	60
2023-06-14T14:00:00+05:30	1217.2	1217.2	1213.45	1216.5	1489536	60
2023-06-14T15:00:00+05:30	1216.5	1217.7	1213.1	1214.35	2150892	30
2023-06-15T09:00:00+05:30	1216.2	1217.1	1208.45	1216.2	1872014	45
2023-06-15T10:00:00+05:30	1216.2	1221.05	1215.8	1219.5	1473088	60
2023-06-15T11:00:00+05:30	1219.4	1220.65	1213.0	1215.2	1855306	60
2023-06-15T12:00:00+05:30	1215.2	1219.6	1212.95	1218.6	1584890	60
2023-06-15T13:00:00+05:30	1218.6	1220.1	1216.45	1219.1	1125666	60
2023-06-15T14:00:00+05:30	1219.1	1219.55	1212.7	1214.35	1482092	60
2023-06-15T15:00:00+05:30	1214.4	1217.7	1214.3	1215.4	1860638	30
2023-06-16T09:00:00+05:30	1220.2	1227.6	1220.2	1222.7	2491892	45
2023-06-16T10:00:00+05:30	1222.7	1228.4	1222.4	1224.85	1716820	60
2023-06-16T11:00:00+05:30	1224.85	1227.25	1223.5	1226.5	1400490	60
2023-06-16T12:00:00+05:30	1226.55	1226.6	1223.2	1225.3	1286170	60
2023-06-16T13:00:00+05:30	1225.3	1226.1	1223.45	1225.8	1083746	60
2023-06-16T14:00:00+05:30	1225.8	1229.85	1225.15	1225.5	2918672	60
2023-06-16T15:00:00+05:30	1225.4	1230.5	1222.5	1227.1	12348010	30
2023-06-19T09:00:00+05:30	1231.5	1231.5	1219.3	1221.7	1434830	45
2023-06-19T10:00:00+05:30	1221.7	1222.0	1216.8	1218.7	1109828	60
2023-06-19T11:00:00+05:30	1218.7	1219.05	1213.4	1214.4	1041418	60
